,Date,Time,Status,Team 1,Team 2,Score,Result,Year
25,"Sunday, 13 August",21:00 (IST),Match 27 - Completed ,Gujarat,Jaipur,27  - 20,Gujarat Fortunegiants beat Jaipur Pink Panthers (27-20),2017
26,"Tuesday, 15 August",20:00 (IST),Match 28 - Completed ,Bengal,Puneri,17  - 34,Puneri Paltan beat Bengal Warriors (34-17),2017
27,"Tuesday, 15 August",21:00 (IST),Match 29 - Completed ,Gujarat,Bengaluru,27  - 24,Gujarat Fortunegiants beat Bengaluru Bulls (27-24),2017
28,"Wednesday, 16 August",20:00 (IST),Match 30 - Completed ,Haryana,Tamil,25  - 25,Match Tied,2017
29,"Wednesday, 16 August",21:00 (IST),Match 31 - Completed ,Gujarat,Telugu,29  - 19,Gujarat Fortunegiants beat Telugu Titans (29-19),2017
30,"Thursday, 17 August",20:00 (IST),Match 32 - Completed ,Dabang,Tamil,30  - 29,Dabang Delhi K.C. beat Tamil Thalaivas (30-29),2017
31,"Thursday, 17 August",21:00 (IST),Match 33 - Completed ,Gujarat,Bengal,26  - 26,Match Tied,2017
32,"Friday, 18 August",20:00 (IST),Match 34 - Completed ,U.P.,U,34  - 37,U Mumba beat U.P. Yoddha (37-34),2017
33,"Friday, 18 August",21:00 (IST),Match 35 - Completed ,Bengaluru,Jaipur,28  - 30,Jaipur Pink Panthers beat Bengaluru Bulls (30-28),2017
34,"Saturday, 19 August",20:00 (IST),Match 36 - Completed ,Telugu,U,37  - 32,Telugu Titans beat U Mumba (37-32),2017
35,"Saturday, 19 August",21:00 (IST),Match 37 - Completed ,U.P.,Haryana,29  - 36,Haryana Steelers beat U.P. Yoddha (36-29),2017
36,"Sunday, 20 August",20:00 (IST),Match 38 - Completed ,Patna,Puneri,42  - 47,Puneri Paltan beat Patna Pirates (47-42),2017
37,"Sunday, 20 August",21:00 (IST),Match 39 - Completed ,U.P.,Jaipur,22  - 24,Jaipur Pink Panthers beat U.P. Yoddha (24-22),2017
38,"Tuesday, 22 August",20:00 (IST),Match 40 - Completed ,Gujarat,Puneri,35  - 21,Gujarat Fortunegiants beat Puneri Paltan (35-21),2017
39,"Tuesday, 22 August",21:00 (IST),Match 41 - Completed ,U.P.,Bengal,31  - 32,Bengal Warriors beat U.P. Yoddha (32-31),2017
